id,submitdate,lastpage,startlanguage,seed,DT01_SQ001_,DT01_SQ011_,DT01_SQ002_,DT01_SQ005_,DT01_SQ004_,DT01_SQ003_,DT01_SQ006_,DT01_SQ007_,DT01_SQ008_,DT01_SQ009_,DT01_SQ010_,DT01_other_,DT06_SQ001_,DT06_SQ002_,DT06_SQ003_,DT06_SQ004_,DT06_other_,DT02_SQ001_,DT02_SQ002_,DT02_SQ003_,DT02_SQ006_,DT02_SQ005_,DT02_other_,DT03,DT03_other_,DT04a,DT04b,DT05a,DT05b,DQ01,DQ02,DQ03_SQ001_,DQ03_SQ002_,DQ04,DHRP01,DHRP02_SQ001_,DHRP02_SQ002_,DHRP02_SQ003_,DHRP02_SQ004_,DHRP07_SQ001_,DHRP07_SQ001comment_,DHRP07_SQ002_,DHRP07_SQ002comment_,DHRP07_SQ003_,DHRP07_SQ003comment_,DHRP07_SQ004_,DHRP07_SQ004comment_,DHRP07_SQ005_,DHRP07_SQ005comment_,DHRP07_SQ006_,DHRP07_SQ006comment_,DHRP07_other_,DHRP07_othercomment_,DHRP06_SQ001_,DHRP06_SQ002_,DHRP06_SQ003_,DHRP06_SQ004_,DHRP05_SQ001_,DHRP05_SQ002_,DHRP05_SQ003_,DHRP05_SQ004_,DHRP03a_SQ001_,DHRP03a_SQ002_,DHRP03a_SQ003_,DHRP03b_SQ001_,DHRP03b_SQ002_,DHRP03b_SQ003_,DHRP03c_SQ001_,DHRP03c_SQ002_,DHRP03c_SQ003_,DHRP04_SQ001_,DHRP04_SQ002_,DHRP04_SQ003_,DHRP04_SQ004_,ORDM01,ORDM02_SQ001_,ORDM02_SQ002_,ORDM02_SQ003_,ORDM02_SQ016_,ORDM02_SQ004_,ORDM02_SQ005_,ORDM02_SQ006_,ORDM02_SQ007_,ORDM02_SQ008_,ORDM02_SQ009_,ORDM02_SQ010_,ORDM02_SQ011_,ORDM02_SQ012_,ORDM02_SQ013_,ORDM02_SQ014_,ORDM02_SQ015_,ORDM03,D03,D03_other_,D06,D02_SQ001_,D02_SQ002_,D02_SQ008_,D02_SQ003_,D02_SQ004_,D02_SQ005_,D02_SQ006_,D02_SQ007_,D02_other_
133,1980-01-01T00:00:00Z,5,de,574601817,No,No,No,No,Yes,No,No,No,Yes,No,Yes,NA,No,No,No,Yes,NA,No,No,No,No,Yes,NA,Predominantly proprietary formats,NA,No,NA,No,NA,10 GB - 99 GB,100 GB - 499 GB,10 GB - 99 GB,< 10 GB,Fewer than 5 people,NA,NA,NA,NA,NA,No,NA,No,NA,No,NA,Yes,NA,No,NA,No,NA,NA,NA,Tend to disagree,Tend to disagree,Tend to agree,Tend to disagree,Rarely,Rarely,Rarely,Rarely,NA,NA,NA,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,NA,NA,NA,Most of the time,Most of the time,Most of the time,"Never, or almost never",Do not know/cannot answer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Master's Degree (MSc., MA, Dipl. Ing., Mag.)",NA,Electrical and Information Engineering,No,No,No,No,No,Yes,No,No,NA
134,1980-01-01T00:00:00Z,5,de,22159037,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,NA,Yes,Yes,No,No,NA,No,No,No,Yes,No,NA,Predominantly open source formats,NA,Yes,personenbez. studienergebnisse,No,NA,10 GB - 99 GB,1 TB - 5 TB,< 10 GB,NA,5-9 people,1-5,"Never, or almost never",Most of the time,"Never, or almost never",Sometimes,No,NA,No,NA,No,NA,No,NA,Yes,NA,No,NA,NA,NA,Tend to agree,Completely disagree,Completely disagree,Completely agree,Rarely,Most of the time,Most of the time,"Never, or almost never",github,NA,NA,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Do not know/cannot answer,To a very large extent,To a very large extent,To a very large extent,To a very large extent,To a very large extent,To a very large extent,To little or no extent at all,To some extent,To little or no extent at all,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,To little or no extent at all,Do not know/cannot answer,Do not know/cannot answer,To little or no extent at all,NA,Doctorate/PhD,NA,Computer Science and Biomedical Engineering,No,No,No,No,No,No,No,No,NA
135,1980-01-01T00:00:00Z,5,de,839196087,No,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,NA,No,Yes,No,No,NA,No,No,Yes,Yes,No,NA,Predominantly open source formats,NA,No,NA,No,NA,> 500 GB,1 TB - 5 TB,100 GB - 999 GB,100 GB - 999 GB,5-9 people,NA,NA,NA,NA,NA,No,NA,Yes,NA,No,NA,No,NA,No,NA,No,NA,NA,NA,Completely agree,Tend to agree,Completely disagree,Completely agree,Most of the time,Most of the time,"Always, or almost always","Never, or almost never",Server der Forschungsgruppe,Google Drive,Dropbox,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,"Always, or almost always",Most of the time,NA,NA,To a very large extent,To little or no extent at all,To little or no extent at all,To little or no extent at all,To some extent,To little or no extent at all,To little or no extent at all,To little or no extent at all,To some extent,To little or no extent at all,To a large extent,To some extent,To little or no extent at all,To little or no extent at all,To little or no extent at all,To a large extent,To a large extent,NA,"Master's Degree (MSc., MA, Dipl. Ing., Mag.)",NA,"Mathematics, Physics, and Geodesy",No,No,No,No,No,No,Yes,No,NA
136,1980-01-01T00:00:00Z,5,de,69207654,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,NA,Yes,Yes,No,No,NA,No,No,Yes,Yes,No,NA,Predominantly open source formats,NA,No,NA,No,NA,Up to 99 MB,0 - 99 GB,< 10 GB,< 10 GB,5-9 people,NA,NA,NA,NA,NA,No,NA,Yes,NA,No,NA,Yes,NA,No,NA,No,NA,NA,NA,Tend to agree,Completely disagree,Tend to agree,Tend to agree,"Always, or almost always",Sometimes,Sometimes,Do not know/cannot answer,arXiv,NA,NA,"Never, or almost never",Sometimes,Sometimes,Sometimes,"Never, or almost never",Sometimes,Sometimes,"Always, or almost always","Always, or almost always",Sometimes,To a large extent,To a large extent,To a large extent,To little or no extent at all,To some extent,To some extent,To little or no extent at all,To some extent,To a large extent,To some extent,To some extent,To some extent,To some extent,To some extent,To little or no extent at all,To some extent,To some extent,NA,Doctorate/PhD,NA,Civil Engineering Sciences,Yes,No,No,No,No,No,No,No,NA
137,1980-01-01T00:00:00Z,5,de,1914501429,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,Yes,No,NA,No,Yes,Yes,No,Yes,NA,Predominantly proprietary formats,NA,Yes,Industrieprojekte,Yes,"Polymerproben, Metallorganischen Verbindungen und andere  Materialien",1 GB - 9 GB,0 - 99 GB,10 GB - 99 GB,100 GB - 999 GB,5-9 people,11-20,"Never, or almost never",Do not know/cannot answer,"Never, or almost never","Never, or almost never",No,NA,Yes,Daten werden regelmäßig ausgetauscht,No,NA,No,NA,No,NA,No,NA,NA,NA,Tend to agree,Completely agree,Tend to agree,Don't know/Cannot answer,Rarely,"Never, or almost never","Always, or almost always","Never, or almost never",NA,NA,NA,"Never, or almost never","Never, or almost never",Sometimes,Most of the time,Rarely,"Never, or almost never","Always, or almost always","Always, or almost always","Never, or almost never",Rarely,To some extent,To some extent,To some extent,Do not know/cannot answer,To little or no extent at all,To some extent,To some extent,To a large extent,To some extent,Do not know/cannot answer,To a very large extent,To some extent,To some extent,To a large extent,To a large extent,To a very large extent,To some extent,NA,Doctorate/PhD,NA,"Technical Chemistry, Chemical and Process Engineering, Biotechnology",Yes,No,No,No,No,No,No,No,NA
141,1980-01-01T00:00:00Z,5,de,1014084098,No,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,NA,Yes,Yes,No,No,NA,No,No,Yes,Yes,No,NA,Proprietary and open source formats,NA,No,NA,No,NA,10 GB - 99 GB,100 GB - 499 GB,1 TB - 10 TB,100 GB - 999 GB,10-19 people,1-5,"Never, or almost never","Never, or almost never","Never, or almost never","Never, or almost never",No,NA,Yes,NA,No,NA,No,NA,No,NA,No,NA,NA,NA,Completely agree,Tend to disagree,Tend to agree,Completely agree,"Always, or almost always",Sometimes,Sometimes,Rarely,Git Server der TU Graz,GitHub,GitBucket,"Never, or almost never",Rarely,Sometimes,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,"Never, or almost never","Never, or almost never",To a large extent,To little or no extent at all,To little or no extent at all,To little or no extent at all,To little or no extent at all,To some extent,To a large extent,To a large extent,To a very large extent,Do not know/cannot answer,To little or no extent at all,To little or no extent at all,To little or no extent at all,To little or no extent at all,To some extent,To some extent,To little or no extent at all,NA,"Master's Degree (MSc., MA, Dipl. Ing., Mag.)",NA,"Mathematics, Physics, and Geodesy",No,No,No,No,No,No,Yes,No,NA
147,1980-01-01T00:00:00Z,5,de,1183525036,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,Yes,No,NA,Yes,Yes,Yes,Yes,Yes,NA,Proprietary and open source formats,NA,Yes,personenbezogene Daten wie Daten in Kooperation mit Wirtschaftsunternehmen,Yes,"Holzproben, Verbindungsmittel, etc.",1 GB - 9 GB,0 - 99 GB,100 GB - 999 GB,> 100 TB,5-9 people,>20,"Never, or almost never",Rarely,"Never, or almost never","Never, or almost never",No,NA,Yes,NA,No,NA,Yes,zB im Rahmen eines internat. Datenaustausches; einer breiter angelegten Studie; Neubewertung der Daten; etc.,No,NA,No,NA,NA,NA,Completely agree,Completely disagree,Completely disagree,Completely agree,Most of the time,"Never, or almost never",Rarely,"Never, or almost never",NA,NA,NA,"Never, or almost never",Rarely,Sometimes,"Always, or almost always",Rarely,"Never, or almost never",Rarely,"Always, or almost always",Sometimes,"Never, or almost never",To a very large extent,To some extent,To a very large extent,To little or no extent at all,To a very large extent,To some extent,To some extent,To a large extent,To a very large extent,To a very large extent,To a large extent,To a very large extent,To some extent,To a large extent,To some extent,To a very large extent,To some extent,NA,Doctorate/PhD,NA,Civil Engineering Sciences,No,No,Yes,No,No,No,No,No,NA
148,1980-01-01T00:00:00Z,5,en,1968883421,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,NA,Yes,Yes,Yes,No,NA,No,No,Yes,Yes,No,NA,Do not know/Cannot answer,NA,No,NA,No,NA,1 GB - 9 GB,1 TB - 5 TB,1 TB - 10 TB,1 TB - 10 TB,10-19 people,NA,NA,NA,NA,NA,No,NA,No,NA,No,NA,No,NA,No,NA,Yes,NA,NA,NA,Tend to agree,Tend to agree,Tend to disagree,Completely agree,Sometimes,Most of the time,Sometimes,Do not know/cannot answer,Github,Google drive,NA,Do not know/cannot answer,Rarely,Do not know/cannot answer,NA,NA,NA,Sometimes,"Always, or almost always",Sometimes,Sometimes,To some extent,Do not know/cannot answer,Do not know/cannot answer,To little or no extent at all,To little or no extent at all,To some extent,Do not know/cannot answer,To some extent,To some extent,To some extent,Do not know/cannot answer,To some extent,To some extent,To little or no extent at all,To some extent,To some extent,To a large extent,NA,"Master's Degree (MSc., MA, Dipl. Ing., Mag.)",NA,Computer Science and Biomedical Engineering,No,No,No,No,No,Yes,Yes,No,NA
149,1980-01-01T00:00:00Z,5,de,334943348,No,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,NA,Yes,Yes,No,No,NA,No,No,Yes,Yes,No,NA,Open source formats exclusively,NA,No,NA,No,NA,100 MB - 999 MB,0 - 99 GB,10 GB - 99 GB,< 10 GB,Fewer than 5 people,6-10,"Never, or almost never","Never, or almost never","Never, or almost never","Never, or almost never",No,NA,No,NA,No,NA,Yes,"Entweder Kooperationspartner, oder zum Zweck der Reproduzierbarkeit der Ergebnisse",No,NA,No,NA,NA,NA,Don't know/Cannot answer,Tend to disagree,Tend to agree,Completely agree,Most of the time,Most of the time,"Never, or almost never","Never, or almost never",TU Cloud,github,arxiv,"Never, or almost never",Rarely,Rarely,"Always, or almost always","Never, or almost never","Never, or almost never","Never, or almost never","Always, or almost always",Most of the time,Rarely,To some extent,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,To little or no extent at all,To little or no extent at all,To some extent,To some extent,To some extent,To a large extent,To some extent,To some extent,To a very large extent,To little or no extent at all,To little or no extent at all,To some extent,To some extent,NA,Doctorate/PhD,NA,"Mathematics, Physics, and Geodesy",No,Yes,No,No,No,No,No,No,NA
151,1980-01-01T00:00:00Z,5,de,1687696086,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,elektronik,No,No,No,Yes,NA,Yes,Yes,Yes,Yes,Yes,NA,Proprietary and open source formats,NA,No,NA,No,NA,10 GB - 99 GB,100 GB - 499 GB,10 GB - 99 GB,10 GB - 99 GB,5-9 people,1-5,"Never, or almost never",Do not know/cannot answer,"Never, or almost never","Never, or almost never",No,NA,No,NA,No,NA,No,NA,No,NA,Yes,NA,NA,NA,Tend to agree,Completely disagree,Completely agree,Completely disagree,Most of the time,Rarely,"Never, or almost never","Never, or almost never",TU Git,Instituts-GitLab,TU NextCloud,"Never, or almost never","Never, or almost never","Never, or almost never",NA,NA,NA,Sometimes,"Never, or almost never",Most of the time,Most of the time,To little or no extent at all,To little or no extent at all,To a large extent,To little or no extent at all,To little or no extent at all,To a large extent,To little or no extent at all,To a large extent,To a very large extent,To some extent,To a very large extent,To some extent,To some extent,To some extent,To little or no extent at all,To little or no extent at all,To little or no extent at all,NA,"Master's Degree (MSc., MA, Dipl. Ing., Mag.)",NA,Electrical and Information Engineering,No,No,No,Yes,No,Yes,Yes,No,NA
152,1980-01-01T00:00:00Z,5,de,28749120,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,NA,No,No,No,No,NA,No,No,No,Yes,Yes,NA,Predominantly open source formats,NA,Yes,CAD Daten von Industriepartnern,No,NA,100 MB - 999 MB,0 - 99 GB,< 10 GB,10 GB - 99 GB,Fewer than 5 people,NA,NA,NA,NA,NA,Yes,"3D Modelle, etc.",No,NA,Yes,"Projektdaten, für Kooperationspartnern, Code",No,NA,No,NA,No,NA,NA,NA,Completely agree,Tend to disagree,Tend to disagree,Completely agree,Most of the time,"Never, or almost never",Sometimes,Rarely,NA,NA,NA,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Most of the time,Do not know/cannot answer,Most of the time,Do not know/cannot answer,"Never, or almost never",To a large extent,To some extent,To some extent,To a large extent,To some extent,To a large extent,To some extent,Do not know/cannot answer,To little or no extent at all,To little or no extent at all,To little or no extent at all,To little or no extent at all,To some extent,To a large extent,To some extent,To some extent,To little or no extent at all,NA,Doctorate/PhD,NA,Computer Science and Biomedical Engineering,No,No,Yes,No,No,No,No,No,NA
153,1980-01-01T00:00:00Z,5,de,284037812,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,NA,Yes,Yes,Yes,No,NA,No,No,Yes,Yes,Yes,NA,Predominantly open source formats,NA,Yes,z.B. medizinische Daten,No,NA,100 GB - 499 GB,> 5 TB,1 TB - 10 TB,10 GB - 99 GB,5-9 people,1-5,Rarely,Sometimes,Sometimes,Rarely,Yes,Code,No,NA,No,NA,No,NA,No,NA,No,NA,NA,NA,Tend to agree,Tend to agree,Tend to disagree,Completely agree,Most of the time,Most of the time,Most of the time,Most of the time,arxiv,github,NA,Rarely,Sometimes,Most of the time,Rarely,Most of the time,Most of the time,"Always, or almost always",Most of the time,Rarely,Sometimes,To some extent,To some extent,To a very large extent,Do not know/cannot answer,To some extent,To some extent,To a large extent,To some extent,To some extent,To some extent,To little or no extent at all,To little or no extent at all,To little or no extent at all,To some extent,To little or no extent at all,To little or no extent at all,To some extent,NA,Doctorate/PhD,NA,Computer Science and Biomedical Engineering,No,No,No,No,Yes,No,No,No,NA
154,1980-01-01T00:00:00Z,5,de,1513718664,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,NA,Yes,Yes,Yes,No,NA,No,Yes,Yes,No,Yes,NA,Proprietary and open source formats,NA,Yes,Geheim,No,NA,> 500 GB,> 5 TB,1 TB - 10 TB,10 GB - 99 GB,Fewer than 5 people,NA,NA,NA,NA,NA,No,NA,Yes,Industrieprojekt,No,NA,No,NA,No,NA,No,NA,NA,NA,Don't know/Cannot answer,Don't know/Cannot answer,Don't know/Cannot answer,Completely agree,"Never, or almost never","Never, or almost never",Sometimes,"Never, or almost never",NA,NA,NA,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,NA,NA,NA,"Always, or almost always",Most of the time,"Never, or almost never","Never, or almost never",Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,To a very large extent,To a very large extent,Do not know/cannot answer,Do not know/cannot answer,To some extent,To some extent,To some extent,To a very large extent,To a large extent,Do not know/cannot answer,NA,"Master's Degree (MSc., MA, Dipl. Ing., Mag.)",NA,Electrical and Information Engineering,No,No,No,No,No,No,Yes,No,NA
155,1980-01-01T00:00:00Z,5,de,506093071,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,NA,Yes,No,No,No,NA,Yes,Yes,No,No,Yes,NA,Predominantly open source formats,NA,No,NA,Yes,Proben aus Biotransformationen,100 MB - 999 MB,0 - 99 GB,NA,< 10 GB,20-29 people,NA,NA,NA,NA,NA,No,NA,Yes,NA,No,NA,No,NA,No,NA,No,NA,NA,NA,Completely agree,Tend to disagree,Don't know/Cannot answer,Tend to agree,Rarely,"Never, or almost never",Do not know/cannot answer,Do not know/cannot answer,NA,NA,NA,Do not know/cannot answer,Rarely,Sometimes,Most of the time,Sometimes,"Never, or almost never",Rarely,"Never, or almost never",Rarely,"Always, or almost always",To some extent,To little or no extent at all,To a large extent,Do not know/cannot answer,Do not know/cannot answer,To some extent,To some extent,To a large extent,To some extent,Do not know/cannot answer,To some extent,To a large extent,Do not know/cannot answer,To a very large extent,To a very large extent,To a large extent,To a very large extent,NA,"Master's Degree (MSc., MA, Dipl. Ing., Mag.)",NA,"Technical Chemistry, Chemical and Process Engineering, Biotechnology",No,No,No,No,No,No,Yes,No,NA
159,1980-01-01T00:00:00Z,5,de,1181463809,No,No,No,No,Yes,Yes,No,No,No,No,Yes,NA,Yes,Yes,No,No,NA,No,Yes,No,No,Yes,NA,Predominantly open source formats,NA,No,NA,Yes,biologische Materialien,Up to 99 MB,0 - 99 GB,< 10 GB,10 GB - 99 GB,5-9 people,11-20,"Never, or almost never","Never, or almost never","Never, or almost never","Never, or almost never",No,NA,No,NA,No,NA,No,NA,Yes,NA,No,NA,NA,NA,Don't know/Cannot answer,Completely agree,Tend to disagree,Don't know/Cannot answer,Sometimes,"Never, or almost never",Most of the time,Do not know/cannot answer,NA,NA,NA,"Never, or almost never","Never, or almost never","Never, or almost never",NA,NA,NA,Sometimes,Most of the time,"Never, or almost never","Never, or almost never",Do not know/cannot answer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Doctorate/PhD,NA,"Technical Chemistry, Chemical and Process Engineering, Biotechnology",Yes,No,No,No,No,No,No,No,NA
162,1980-01-01T00:00:00Z,5,de,1248977498,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,"analoge skizzen, entwürfe, modelle",Yes,Yes,Yes,No,NA,Yes,Yes,No,No,No,NA,Proprietary and open source formats,NA,Yes,"Bilder mit personenbezogenen Inhalten, Daten aus Befrageungen",No,NA,1 GB - 9 GB,0 - 99 GB,10 GB - 99 GB,10 GB - 99 GB,5-9 people,11-20,"Never, or almost never",Rarely,"Never, or almost never","Never, or almost never",No,NA,No,NA,Yes,inkl. Hinterfragung des Verwendungszwecks,Yes,inkl. Hinterfragung des Verwendungszwecks,No,NA,No,NA,NA,NA,Don't know/Cannot answer,Don't know/Cannot answer,Tend to agree,Completely agree,Rarely,"Never, or almost never","Always, or almost always","Never, or almost never",NA,NA,NA,Rarely,Sometimes,Sometimes,Most of the time,Sometimes,"Never, or almost never","Always, or almost always","Always, or almost always","Always, or almost always",Rarely,To a large extent,To a large extent,To a large extent,Do not know/cannot answer,To a large extent,To some extent,Do not know/cannot answer,To a very large extent,To a large extent,To a large extent,To a large extent,Do not know/cannot answer,To a very large extent,Do not know/cannot answer,To some extent,To some extent,To some extent,NA,Doctorate/PhD,NA,Architecture,No,No,No,No,No,Yes,No,No,NA
163,1980-01-01T00:00:00Z,5,de,48655348,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,NA,Yes,Yes,No,No,NA,No,No,Yes,Yes,No,NA,Predominantly open source formats,NA,No,NA,No,NA,> 500 GB,1 TB - 5 TB,1 TB - 10 TB,100 GB - 999 GB,10-19 people,1-5,"Never, or almost never","Never, or almost never","Never, or almost never","Never, or almost never",No,NA,No,NA,Yes,NA,Yes,NA,No,NA,No,NA,NA,NA,Tend to agree,Don't know/Cannot answer,Don't know/Cannot answer,Completely agree,Most of the time,Sometimes,Rarely,"Never, or almost never",bitbucket,github,NA,"Never, or almost never",Sometimes,Rarely,Most of the time,Sometimes,Sometimes,"Always, or almost always","Always, or almost always","Always, or almost always",Sometimes,To some extent,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,To a large extent,Do not know/cannot answer,Do not know/cannot answer,To some extent,To some extent,To little or no extent at all,To little or no extent at all,To a large extent,To some extent,To little or no extent at all,NA,"Master's Degree (MSc., MA, Dipl. Ing., Mag.)",NA,"Mathematics, Physics, and Geodesy",No,No,No,No,No,No,Yes,No,NA
164,1980-01-01T00:00:00Z,5,en,288163815,No,No,No,No,No,No,No,No,Yes,No,Yes,NA,Yes,No,No,No,NA,No,Yes,No,No,Yes,NA,Do not know/Cannot answer,NA,No,NA,No,NA,Up to 99 MB,0 - 99 GB,10 GB - 99 GB,10 GB - 99 GB,Fewer than 5 people,1-5,"Always, or almost always",Do not know/cannot answer,"Always, or almost always","Always, or almost always",Yes,NA,No,NA,No,NA,No,NA,No,NA,No,NA,NA,NA,Tend to agree,Tend to agree,Tend to agree,Tend to agree,"Never, or almost never","Never, or almost never",Sometimes,Sometimes,NA,NA,NA,Rarely,Rarely,"Never, or almost never",NA,NA,NA,"Always, or almost always","Always, or almost always","Never, or almost never","Never, or almost never",Do not know/cannot answer,To some extent,To some extent,Do not know/cannot answer,Do not know/cannot answer,To some extent,To some extent,To a large extent,To a large extent,To some extent,To a very large extent,To a very large extent,To a very large extent,To a very large extent,Do not know/cannot answer,Do not know/cannot answer,To some extent,NA,Doctorate/PhD,NA,"Technical Chemistry, Chemical and Process Engineering, Biotechnology",No,No,Yes,No,No,No,No,No,NA
166,1980-01-01T00:00:00Z,5,de,1415002368,Yes,No,No,No,Yes,No,No,No,Yes,No,Yes,NA,Yes,No,No,No,NA,No,No,No,No,No,Interviewdaten/qualitative Textanalyse,Predominantly proprietary formats,NA,Yes,"Firmendaten, strategische Planung",No,NA,Up to 99 MB,100 GB - 499 GB,10 GB - 99 GB,100 GB - 999 GB,Fewer than 5 people,1-5,Rarely,Rarely,"Never, or almost never","Never, or almost never",No,NA,No,NA,No,NA,No,NA,Yes,NA,No,NA,NA,NA,Tend to disagree,Tend to disagree,Tend to agree,Tend to disagree,"Never, or almost never","Never, or almost never","Never, or almost never","Never, or almost never",NA,NA,NA,"Never, or almost never",Rarely,Rarely,Sometimes,"Never, or almost never","Never, or almost never",Most of the time,"Always, or almost always",Most of the time,Sometimes,Do not know/cannot answer,To some extent,To some extent,Do not know/cannot answer,To some extent,To little or no extent at all,To little or no extent at all,To little or no extent at all,To some extent,Do not know/cannot answer,Do not know/cannot answer,To little or no extent at all,Do not know/cannot answer,Do not know/cannot answer,To some extent,To some extent,To some extent,NA,Doctorate/PhD,NA,Mechanical Engineering and Economic Sciences,No,No,Yes,No,No,No,No,No,NA
167,1980-01-01T00:00:00Z,5,de,809490865,No,No,Yes,No,Yes,No,No,No,Yes,No,Yes,NA,Yes,No,No,No,NA,No,No,Yes,Yes,No,NA,Proprietary and open source formats,NA,No,NA,No,NA,100 GB - 499 GB,1 TB - 5 TB,100 GB - 999 GB,10 GB - 99 GB,5-9 people,NA,NA,NA,NA,NA,No,NA,Yes,betrifft Simulationsdaten aber auch kleinere Programme,No,NA,No,NA,No,NA,No,NA,NA,NA,Tend to agree,Tend to disagree,Tend to agree,Completely agree,Sometimes,Most of the time,Most of the time,"Never, or almost never",GitHub,GitLab,NA,"Never, or almost never","Never, or almost never",Rarely,Most of the time,Most of the time,Sometimes,"Always, or almost always",Most of the time,Most of the time,"Never, or almost never",To some extent,To some extent,To some extent,Do not know/cannot answer,Do not know/cannot answer,To little or no extent at all,To little or no extent at all,To a large extent,To some extent,To a large extent,To a very large extent,To little or no extent at all,To little or no extent at all,To some extent,To some extent,To a large extent,To a large extent,NA,"Master's Degree (MSc., MA, Dipl. Ing., Mag.)",NA,"Mathematics, Physics, and Geodesy",No,No,No,No,No,No,Yes,No,NA
170,1980-01-01T00:00:00Z,5,de,865471088,No,No,No,No,No,No,No,No,No,Yes,Yes,Messdaten,Yes,Yes,No,No,NA,No,Yes,Yes,No,Yes,NA,Predominantly proprietary formats,NA,No,NA,No,NA,Up to 99 MB,0 - 99 GB,< 10 GB,< 10 GB,Fewer than 5 people,1-5,"Never, or almost never","Never, or almost never","Never, or almost never","Never, or almost never",No,NA,Yes,NA,No,NA,Yes,NA,No,NA,No,NA,NA,NA,Completely agree,Don't know/Cannot answer,Tend to disagree,Tend to agree,"Never, or almost never","Never, or almost never",Most of the time,"Never, or almost never",NA,NA,NA,"Never, or almost never","Never, or almost never",Rarely,Sometimes,Do not know/cannot answer,Do not know/cannot answer,Sometimes,"Always, or almost always","Never, or almost never","Never, or almost never",Do not know/cannot answer,To a large extent,To some extent,Do not know/cannot answer,Do not know/cannot answer,To little or no extent at all,To little or no extent at all,To a large extent,To a large extent,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,To some extent,To a large extent,To a large extent,To a very large extent,NA,"Master's Degree (MSc., MA, Dipl. Ing., Mag.)",NA,Mechanical Engineering and Economic Sciences,No,No,No,No,No,No,Yes,No,NA
171,1980-01-01T00:00:00Z,5,de,434930684,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes,NA,Yes,No,No,No,NA,Yes,Yes,Yes,No,No,NA,Proprietary and open source formats,NA,Yes,"Produktionsdaten, Messdaten aus laufenden Anlagen etc.",No,NA,100 MB - 999 MB,100 GB - 499 GB,10 GB - 99 GB,10 GB - 99 GB,5-9 people,>20,Sometimes,Rarely,Rarely,Rarely,No,NA,Yes,NA,No,NA,No,NA,No,NA,No,NA,NA,NA,Tend to disagree,Tend to agree,Tend to agree,Completely disagree,Sometimes,Sometimes,Sometimes,"Never, or almost never",svn,"projektbezogen, meist Open Source",NA,Sometimes,Sometimes,Rarely,Most of the time,"Never, or almost never","Never, or almost never","Always, or almost always",Most of the time,Most of the time,Rarely,To a large extent,To some extent,To a very large extent,To little or no extent at all,To some extent,To a large extent,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,To a large extent,To a large extent,Do not know/cannot answer,To a large extent,To some extent,To some extent,Do not know/cannot answer,NA,Doctorate/PhD,NA,Electrical and Information Engineering,No,Yes,No,No,No,No,No,No,NA
