var,question,label
DHRP03a_SQ002_,Please name up to three non-institutional repositories you have used to store your data!,Service/Platform 2
DHRP03a_SQ003_,Please name up to three non-institutional repositories you have used to store your data!,Service/Platform 3
DHRP03b_SQ001_,"During a project, how frequently do you/does your group...",...update a data management plan to reflect changes in the project
DHRP03b_SQ002_,"During a project, how frequently do you/does your group...","...provide training to team members on Research Data Management, Sharing and Reuse"
DHRP03b_SQ003_,"During a project, how frequently do you/does your group...",...reuse data from third parties
DHRP03c_SQ001_,"When re-using third-party data, these are usually obtained through...",...direct contact with data producers
DHRP03c_SQ002_,"When re-using third-party data, these are usually obtained through...",...supplementary files linked to publications
DHRP03c_SQ003_,"When re-using third-party data, these are usually obtained through...",...data repositories or similar platforms
DHRP04_SQ001_,"The next question concerns standard processes in place for storing research data in the short term (for the duration of a project, &lt;3 years). How frequently do you/does your group...",...store data on a local hard-drive during a project
DHRP04_SQ002_,"The next question concerns standard processes in place for storing research data in the short term (for the duration of a project, &lt;3 years). How frequently do you/does your group...",...store data in institutional servers during a project
DHRP04_SQ003_,"The next question concerns standard processes in place for storing research data in the short term (for the duration of a project, &lt;3 years). How frequently do you/does your group...",...store data on cloud services provided by TU Graz during a project
DHRP04_SQ004_,"The next question concerns standard processes in place for storing research data in the short term (for the duration of a project, &lt;3 years). How frequently do you/does your group...",...store data on cloud services provided by a third party during a project
ORDM01,To what extent do you agree with the following statement: I have already experienced obstacles limiting my own or my team's abilities to manage and share the data generated in our research?,NA
ORDM02_SQ001_,To what extent do you see the following as obstacles to research data management and sharing?,Dealing with data protection for personal data
ORDM02_SQ002_,To what extent do you see the following as obstacles to research data management and sharing?,Dealing with data confidentiality for commercially-sensitive data
ORDM02_SQ003_,To what extent do you see the following as obstacles to research data management and sharing?,"Dealing with security issues relating to data from sensitive research (e.g. terrorism, policing, defence industry)"
ORDM02_SQ016_,To what extent do you see the following as obstacles to research data management and sharing?,Data security/information security
ORDM02_SQ004_,To what extent do you see the following as obstacles to research data management and sharing?,"Legal restrictions (e.g. copyright law, patents, trademarks)"
ORDM02_SQ005_,To what extent do you see the following as obstacles to research data management and sharing?,Financial costs of research data management and sharing (e.g. buying additional storage space)
ORDM02_SQ006_,To what extent do you see the following as obstacles to research data management and sharing?,Lack of skills to manage and share data
ORDM02_SQ007_,To what extent do you see the following as obstacles to research data management and sharing?,Increased time and effort required
ORDM02_SQ008_,To what extent do you see the following as obstacles to research data management and sharing?,Lack of recognition given to research data management and sharing activities in my organisation
ORDM02_SQ009_,To what extent do you see the following as obstacles to research data management and sharing?,Sharing data does not increase the visibility and impact of my research
ORDM02_SQ010_,To what extent do you see the following as obstacles to research data management and sharing?,Risk of misinterpretation of data
ORDM02_SQ011_,To what extent do you see the following as obstacles to research data management and sharing?,Risk of falsification of data
ORDM02_SQ012_,To what extent do you see the following as obstacles to research data management and sharing?,Economic competitiveness/undesired commercial use
ORDM02_SQ013_,To what extent do you see the following as obstacles to research data management and sharing?,Lack of institutional guidelines for research data management and sharing
ORDM02_SQ014_,To what extent do you see the following as obstacles to research data management and sharing?,Missing data standards and established processes
ORDM02_SQ015_,To what extent do you see the following as obstacles to research data management and sharing?,Lack of knowledge about data repositories or data centers where data could be stored
ORDM03,Please specify any other obstacles to Research Data Management and sharing that you might experience!,NA
D03,Please indicate your highest completed degree!,NA
D03_other_,Please indicate your highest completed degree!,Other
D06,Please indicate your faculty!,NA
D02_SQ001_,Please indicate your role in your research group/at your department!,Full Professor
D02_SQ002_,Please indicate your role in your research group/at your department!,Associate Professor
D02_SQ008_,Please indicate your role in your research group/at your department!,Assistant Professor
D02_SQ003_,Please indicate your role in your research group/at your department!,Lecturer
D02_SQ004_,Please indicate your role in your research group/at your department!,PostDoc
D02_SQ005_,Please indicate your role in your research group/at your department!,Researcher
D02_SQ006_,Please indicate your role in your research group/at your department!,PhD-Candidate
D02_SQ007_,Please indicate your role in your research group/at your department!,Student
D02_other_,Please indicate your role in your research group/at your department!,Other
