"id","submitdate","lastpage","startlanguage","seed","DT01[SQ001]","DT01[SQ011]","DT01[SQ002]","DT01[SQ005]","DT01[SQ004]","DT01[SQ003]","DT01[SQ006]","DT01[SQ007]","DT01[SQ008]","DT01[SQ009]","DT01[SQ010]","DT01[other]","DT06[SQ001]","DT06[SQ002]","DT06[SQ003]","DT06[SQ004]","DT06[other]","DT02[SQ001]","DT02[SQ002]","DT02[SQ003]","DT02[SQ006]","DT02[SQ005]","DT02[other]","DT03","DT03[other]","DT04a","DT04b","DT05a","DT05b","DQ01","DQ02","DQ03[SQ001]","DQ03[SQ002]","DQ04","DHRP01","DHRP02[SQ001]","DHRP02[SQ002]","DHRP02[SQ003]","DHRP02[SQ004]","DHRP07[SQ001]","DHRP07[SQ001comment]","DHRP07[SQ002]","DHRP07[SQ002comment]","DHRP07[SQ003]","DHRP07[SQ003comment]","DHRP07[SQ004]","DHRP07[SQ004comment]","DHRP07[SQ005]","DHRP07[SQ005comment]","DHRP07[SQ006]","DHRP07[SQ006comment]","DHRP07[other]","DHRP07[othercomment]","DHRP06[SQ001]","DHRP06[SQ002]","DHRP06[SQ003]","DHRP06[SQ004]","DHRP05[SQ001]","DHRP05[SQ002]","DHRP05[SQ003]","DHRP05[SQ004]","DHRP03a[SQ001]","DHRP03a[SQ002]","DHRP03a[SQ003]","DHRP03b[SQ001]","DHRP03b[SQ002]","DHRP03b[SQ003]","DHRP03c[SQ001]","DHRP03c[SQ002]","DHRP03c[SQ003]","DHRP04[SQ001]","DHRP04[SQ002]","DHRP04[SQ003]","DHRP04[SQ004]","ORDM01","ORDM02[SQ001]","ORDM02[SQ002]","ORDM02[SQ003]","ORDM02[SQ016]","ORDM02[SQ004]","ORDM02[SQ005]","ORDM02[SQ006]","ORDM02[SQ007]","ORDM02[SQ008]","ORDM02[SQ009]","ORDM02[SQ010]","ORDM02[SQ011]","ORDM02[SQ012]","ORDM02[SQ013]","ORDM02[SQ014]","ORDM02[SQ015]","ORDM03","D03","D03[other]","D06","D02[SQ001]","D02[SQ002]","D02[SQ008]","D02[SQ003]","D02[SQ004]","D02[SQ005]","D02[SQ006]","D02[SQ007]","D02[other]"
"53","1980-01-01 00:00:00","5","de","1886992550","No","No","No","No","Yes","Yes","No","Yes","Yes","Yes","Yes","","Yes","Yes","No","No","","Yes","Yes","Yes","Yes","Yes","","Do not know/Cannot answer","","Yes","Informationen von Industriepartnern zu Produktionssystemen","Yes","DNA/Zellen/Chemikalien","1 GB - 9 GB","0 - 99 GB","< 10 GB","10 GB - 99 GB","Fewer than 5 people","1-5","Most of the time","Rarely","Never, or almost never","Rarely","No","","No","","No","","Yes","","No","","No","","","","Tend to agree","Completely agree","Completely disagree","Completely agree","Never, or almost never","Never, or almost never","Most of the time","Never, or almost never","","","","Never, or almost never","Never, or almost never","Rarely","Never, or almost never","Always, or almost always","Never, or almost never","Sometimes","Always, or almost always","Never, or almost never","Never, or almost never","To some extent","To little or no extent at all","To some extent","To little or no extent at all","To little or no extent at all","To some extent","To a large extent","To some extent","To some extent","Do not know/cannot answer","To a large extent","To a large extent","Do not know/cannot answer","To some extent","To some extent","To a large extent","To a large extent","","Doctorate/PhD","","Technical Chemistry, Chemical and Process Engineering, Biotechnology","No","No","No","No","No","No","No","No","Universitätsassistent"
"54","1980-01-01 00:00:00","5","de","160595683","No","No","Yes","No","No","No","No","No","Yes","No","Yes","","Yes","Yes","Yes","No","","No","No","Yes","Yes","No","","Predominantly proprietary formats","","Yes","Messdaten mit der Möglichkeit die Betriebsführung abzuleiten","No","","100 MB - 999 MB","0 - 99 GB","10 GB - 99 GB","< 10 GB","5-9 people","1-5","Most of the time","Most of the time","Most of the time","Do not know/cannot answer","No","","Yes","Falls für die Aufgaben/Berichte des Partners benötigt. Erfolgt dann meistens über NextCload","No","","Yes","Über Bigmail","No","","No","","","","Tend to agree","Tend to agree","Completely disagree","Completely agree","Most of the time","Never, or almost never","Rarely","Never, or almost never","","","","Do not know/cannot answer","Do not know/cannot answer","Rarely","Always, or almost always","Always, or almost always","Sometimes","Always, or almost always","Always, or almost always","Sometimes","Never, or almost never","To some extent","To little or no extent at all","To some extent","To some extent","To some extent","To little or no extent at all","To some extent","To a large extent","To little or no extent at all","Do not know/cannot answer","To a large extent","To little or no extent at all","To little or no extent at all","To a very large extent","To some extent","To a large extent","To a large extent","","Master's Degree (MSc., MA, Dipl. Ing., Mag.)","","Electrical and Information Engineering","No","No","No","No","No","No","Yes","No",""
"56","1980-01-01 00:00:00","5","de","293148355","No","No","No","No","No","Yes","Yes","No","No","No","No","","Yes","No","No","No","","No","Yes","No","No","Yes","","Predominantly proprietary formats","","No","","Yes","Flüssigkeiten","100 GB - 499 GB","0 - 99 GB","","100 GB - 999 GB","Fewer than 5 people","1-5","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","No","","No","","No","","No","","Yes","","No","","","","Don't know/Cannot answer","Don't know/Cannot answer","Don't know/Cannot answer","Don't know/Cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","","","","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","","","","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","To some extent","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","","Master's Degree (MSc., MA, Dipl. Ing., Mag.)","","Mechanical Engineering and Economic Sciences","No","No","No","No","No","No","Yes","No",""
"61","1980-01-01 00:00:00","5","de","915214133","No","No","Yes","No","No","No","No","No","No","No","Yes","","No","No","No","Yes","","No","Yes","Yes","Yes","No","","Proprietary and open source formats","","No","","No","","< 1 MB","0 - 99 GB","< 10 GB","< 10 GB","Fewer than 5 people","","","","","","No","","No","","No","","No","","Yes","","No","","","","Don't know/Cannot answer","Completely disagree","Completely agree","Tend to disagree","Never, or almost never","Most of the time","Sometimes","Rarely","arXiv","","","Never, or almost never","Never, or almost never","Never, or almost never","","","","Sometimes","Always, or almost always","Never, or almost never","Never, or almost never","To little or no extent at all","Do not know/cannot answer","Do not know/cannot answer","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","To some extent","To a very large extent","Do not know/cannot answer","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","","Doctorate/PhD","","Mathematics, Physics, and Geodesy","No","No","No","No","Yes","No","No","No",""
"62","1980-01-01 00:00:00","5","de","1916133748","No","No","No","No","No","No","No","No","No","No","Yes","","Yes","Yes","No","No","","No","No","Yes","Yes","Yes","","Predominantly open source formats","","No","","No","","1 GB - 9 GB","500 GB - 900 GB","1 TB - 10 TB","10 TB - 100 TB","Fewer than 5 people","11-20","Never, or almost never","Never, or almost never","Never, or almost never","Never, or almost never","Yes","","No","","No","","No","","No","","No","","","","Completely agree","Tend to agree","Completely disagree","Tend to agree","Never, or almost never","Always, or almost always","Rarely","Never, or almost never","","","","Never, or almost never","Never, or almost never","Rarely","Most of the time","Never, or almost never","Most of the time","Sometimes","Rarely","Most of the time","Most of the time","To a large extent","To a large extent","To a large extent","To little or no extent at all","To a large extent","Do not know/cannot answer","To little or no extent at all","To a large extent","To some extent","To little or no extent at all","To little or no extent at all","To little or no extent at all","To some extent","To some extent","To some extent","To a large extent","To a large extent","","Doctorate/PhD","","Computer Science and Biomedical Engineering","No","No","No","Yes","No","Yes","No","No",""
"65","1980-01-01 00:00:00","5","de","1578719443","No","No","No","Yes","No","No","No","Yes","No","No","Yes","","Yes","No","No","No","","Yes","Yes","No","No","Yes","","Proprietary formats exclusively","","No","","Yes","chemische Proben","100 MB - 999 MB","0 - 99 GB","10 GB - 99 GB","10 GB - 99 GB","5-9 people","11-20","Never, or almost never","Never, or almost never","Never, or almost never","Never, or almost never","Yes","in Publikationen","Yes","zur weiteren Berechnung","No","","No","","No","","No","","","","Tend to disagree","Tend to agree","Completely disagree","Tend to agree","Never, or almost never","Never, or almost never","Most of the time","Never, or almost never","","","","Never, or almost never","Never, or almost never","Never, or almost never","","","","Most of the time","Never, or almost never","Never, or almost never","Never, or almost never","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","To some extent","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","","Doctorate/PhD","","Technical Chemistry, Chemical and Process Engineering, Biotechnology","No","No","No","No","No","Yes","No","No",""
"66","1980-01-01 00:00:00","5","de","344367612","No","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","No","","No","Yes","Yes","Yes","Yes","","Do not know/Cannot answer","","Yes","Daten aus Industrieprojekten","Yes","Prototypen von Industriepartnern (Elektrotechnik)","< 1 MB","0 - 99 GB","10 GB - 99 GB","< 10 GB","Fewer than 5 people","1-5","Never, or almost never","Never, or almost never","Never, or almost never","Never, or almost never","No","","No","","Yes","Daten mit hoher Relevanz für das vorliegende Projekt werden über einen passwortgeschützten Server mit den Projektpartnern geteilt. Die Daten sind niemals personenbezogen oder sensibel.","No","","No","","No","","","","Completely agree","Tend to disagree","Tend to agree","Tend to agree","Never, or almost never","Never, or almost never","Rarely","Never, or almost never","","","","Never, or almost never","Rarely","Rarely","Rarely","Never, or almost never","Never, or almost never","Most of the time","Most of the time","Always, or almost always","Never, or almost never","To little or no extent at all","To little or no extent at all","To some extent","Do not know/cannot answer","To little or no extent at all","To a large extent","To little or no extent at all","To little or no extent at all","To some extent","To some extent","To some extent","To a large extent","To a large extent","To a large extent","To some extent","To some extent","To a large extent","","Master's Degree (MSc., MA, Dipl. Ing., Mag.)","","Electrical and Information Engineering","No","No","No","No","No","No","Yes","No",""
"67","1980-01-01 00:00:00","5","de","1507246070","No","No","No","No","Yes","No","No","No","Yes","No","Yes","","No","No","No","Yes","","No","No","Yes","No","Yes","","Predominantly proprietary formats","","Yes","Netzdaten (Energieversorgungsnetze), Erzeugung- und Verbrauchsdaten","No","","100 MB - 999 MB","500 GB - 900 GB","","100 GB - 999 GB","Fewer than 5 people",">20","Never, or almost never","Sometimes","Never, or almost never","Rarely","No","","Yes","","No","","Yes","","No","","No","","","","Tend to agree","Completely disagree","Tend to agree","Tend to agree","Never, or almost never","Never, or almost never","Sometimes","Never, or almost never","","","","Rarely","Sometimes","Sometimes","Always, or almost always","Rarely","Never, or almost never","Most of the time","Most of the time","Sometimes","Never, or almost never","To some extent","To some extent","To some extent","Do not know/cannot answer","To some extent","To little or no extent at all","To some extent","To little or no extent at all","To a large extent","To little or no extent at all","To some extent","To some extent","To some extent","To a large extent","To little or no extent at all","To little or no extent at all","To little or no extent at all","","Doctorate/PhD","","Electrical and Information Engineering","No","Yes","No","No","No","No","No","No",""
"68","1980-01-01 00:00:00","5","de","892158155","No","No","Yes","No","Yes","No","No","No","No","No","No","","Yes","No","Yes","No","","No","No","Yes","Yes","Yes","","Predominantly proprietary formats","","Yes","Industrieprojekte","No","","10 GB - 99 GB","0 - 99 GB","< 10 GB","10 GB - 99 GB","Fewer than 5 people","","","","","","No","","Yes","","No","","No","","No","","No","","","","Tend to agree","Tend to agree","Tend to disagree","Tend to agree","Sometimes","Never, or almost never","Never, or almost never","Never, or almost never","","","","Never, or almost never","Never, or almost never","Rarely","Most of the time","Never, or almost never","Never, or almost never","Most of the time","Never, or almost never","Sometimes","Never, or almost never","To little or no extent at all","To little or no extent at all","To a large extent","To little or no extent at all","To little or no extent at all","To some extent","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","To a large extent","To little or no extent at all","To little or no extent at all","To little or no extent at all","","Master's Degree (MSc., MA, Dipl. Ing., Mag.)","","Electrical and Information Engineering","No","No","No","No","No","No","Yes","No",""
"69","1980-01-01 00:00:00","5","de","241610672","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","","Yes","Yes","No","No","","No","No","Yes","Yes","No","","Predominantly open source formats","","Yes","Geometriedaten","No","","10 GB - 99 GB","500 GB - 900 GB","100 GB - 999 GB","100 GB - 999 GB","Fewer than 5 people","1-5","Never, or almost never","Never, or almost never","Never, or almost never","Never, or almost never","No","","Yes","","No","","No","","No","","No","","","","Completely disagree","Completely disagree","Completely agree","Tend to disagree","Never, or almost never","Never, or almost never","Never, or almost never","Never, or almost never","","","","Never, or almost never","Rarely","Never, or almost never","","","","Always, or almost always","Always, or almost always","Always, or almost always","Never, or almost never","To a very large extent","","","","","","","","","","","","","","","","","","Doctorate/PhD","","Technical Chemistry, Chemical and Process Engineering, Biotechnology","No","No","No","No","Yes","No","No","No",""
"71","1980-01-01 00:00:00","5","de","958759010","No","No","No","No","No","No","No","No","Yes","No","Yes","","No","No","No","Yes","","No","Yes","Yes","No","Yes","","Predominantly proprietary formats","","Yes","Daten aus Industrieprojekten","Yes","Kraftstoff, Motoröl","100 MB - 999 MB","0 - 99 GB","","1 TB - 10 TB","5-9 people","6-10","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","No","","No","","No","","No","","Yes","","No","","","","Completely agree","Tend to agree","Completely disagree","Completely agree","Never, or almost never","Never, or almost never","Never, or almost never","Never, or almost never","","","","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","","","","Always, or almost always","Most of the time","Never, or almost never","Never, or almost never","Do not know/cannot answer","Do not know/cannot answer","","","","","","","","","","","","","","","","","Doctorate/PhD","","Mechanical Engineering and Economic Sciences","No","No","No","No","Yes","No","No","No",""
